date,family,sales,dcoilwtico,est_ferie,day_of_week,month
2013-02-15,BEVERAGES,51659.0,95.95,0,4,2
2013-02-16,BEVERAGES,81385.0,96.135,0,5,2
2013-02-17,BEVERAGES,66902.0,96.32,0,6,2
2013-02-18,BEVERAGES,51503.0,96.505,0,0,2
2013-02-19,BEVERAGES,43284.0,96.69,0,1,2
2013-02-20,BEVERAGES,47312.0,94.92,0,2,2
2013-02-21,BEVERAGES,41292.0,92.79,0,3,2
2013-02-22,BEVERAGES,46619.0,93.12,0,4,2
2013-02-23,BEVERAGES,69259.0,92.99333333333334,0,5,2
2013-02-24,BEVERAGES,77335.0,92.86666666666666,0,6,2
2013-02-25,BEVERAGES,48718.0,92.74,0,0,2
2013-02-26,BEVERAGES,41366.0,92.63,0,1,2
2013-02-27,BEVERAGES,44791.0,92.84,0,2,2
2013-02-28,BEVERAGES,42710.0,92.03,0,3,2
2013-03-01,BEVERAGES,56760.0,90.71,0,4,3
2013-03-02,BEVERAGES,86736.0,90.51666666666667,0,5,3
2013-03-03,BEVERAGES,87516.0,90.32333333333332,0,6,3
2013-03-04,BEVERAGES,55912.0,90.13,0,0,3
2013-03-05,BEVERAGES,51642.0,90.88,0,1,3
2013-03-06,BEVERAGES,50242.0,90.47,0,2,3
2013-03-07,BEVERAGES,46922.0,91.53,0,3,3
2013-03-08,BEVERAGES,51941.0,92.01,0,4,3
2013-03-09,BEVERAGES,78980.0,92.03,0,5,3
2013-03-10,BEVERAGES,78363.0,92.05,0,6,3
2013-03-11,BEVERAGES,50501.0,92.07,0,0,3
2013-03-12,BEVERAGES,42810.0,92.44,0,1,3
2013-03-13,BEVERAGES,45023.0,92.47,0,2,3
2013-03-14,BEVERAGES,39000.0,93.03,0,3,3
2013-03-15,BEVERAGES,50897.0,93.49,0,4,3
2013-03-16,BEVERAGES,76480.0,93.56333333333333,0,5,3
2013-03-17,BEVERAGES,82922.0,93.63666666666666,0,6,3
2013-03-18,BEVERAGES,47279.0,93.71,0,0,3
2013-03-19,BEVERAGES,42741.0,92.44,0,1,3
2013-03-20,BEVERAGES,47078.0,93.21,0,2,3
2013-03-21,BEVERAGES,38349.0,92.46,0,3,3
2013-03-22,BEVERAGES,50035.0,93.41,0,4,3
2013-03-23,BEVERAGES,75968.0,93.78999999999999,0,5,3
2013-03-24,BEVERAGES,75445.0,94.17,0,6,3
2013-03-25,BEVERAGES,49999.0,94.55,0,0,3
2013-03-26,BEVERAGES,42925.0,95.99,0,1,3
2013-03-27,BEVERAGES,48816.0,96.53,0,2,3
2013-03-28,BEVERAGES,55021.0,97.24,0,3,3
2013-03-29,BEVERAGES,61859.0,97.205,0,4,3
2013-03-30,BEVERAGES,76877.0,97.16999999999999,0,5,3
2013-03-31,BEVERAGES,77181.0,97.13499999999999,0,6,3
2013-04-01,BEVERAGES,60003.0,97.1,0,0,4
2013-04-02,BEVERAGES,54001.0,97.23,0,1,4
2013-04-03,BEVERAGES,55428.0,95.02,0,2,4
2013-04-04,BEVERAGES,46133.0,93.26,0,3,4
2013-04-05,BEVERAGES,54537.0,92.76,0,4,4
2013-04-06,BEVERAGES,85635.0,92.96000000000001,0,5,4
2013-04-07,BEVERAGES,85682.0,93.16,0,6,4
2013-04-08,BEVERAGES,52047.0,93.36,0,0,4
2013-04-09,BEVERAGES,47664.0,94.18,0,1,4
2013-04-10,BEVERAGES,49143.0,94.59,0,2,4
2013-04-11,BEVERAGES,47706.0,93.44,0,3,4
2013-04-12,BEVERAGES,55103.0,91.23,0,4,4
2013-04-13,BEVERAGES,78856.0,90.40333333333334,0,5,4
2013-04-14,BEVERAGES,81527.0,89.57666666666667,0,6,4
2013-04-15,BEVERAGES,52278.0,88.75,0,0,4
2013-04-16,BEVERAGES,50665.0,88.73,0,1,4
2013-04-17,BEVERAGES,48816.0,86.65,0,2,4
2013-04-18,BEVERAGES,41733.0,87.83,0,3,4
2013-04-19,BEVERAGES,51501.0,88.04,0,4,4
2013-04-20,BEVERAGES,76492.0,88.29666666666667,0,5,4
2013-04-21,BEVERAGES,77845.0,88.55333333333334,0,6,4
2013-04-22,BEVERAGES,47858.0,88.81,0,0,4
2013-04-23,BEVERAGES,43351.0,89.21,0,1,4
2013-04-24,BEVERAGES,47338.0,91.07,0,2,4
2013-04-25,BEVERAGES,42482.0,93.27,0,3,4
2013-04-26,BEVERAGES,51952.0,92.63,0,4,4
2013-04-27,BEVERAGES,78796.0,93.11666666666666,0,5,4
2013-04-28,BEVERAGES,83114.0,93.60333333333334,0,6,4
2013-04-29,BEVERAGES,48706.0,94.09,1,0,4
2013-04-30,BEVERAGES,46729.0,93.22,0,1,4
2013-05-01,BEVERAGES,75080.0,90.74,1,2,5
2013-05-02,BEVERAGES,51235.0,93.7,0,3,5
2013-05-03,BEVERAGES,56825.0,95.25,0,4,5
2013-05-04,BEVERAGES,82517.0,95.43333333333334,0,5,5
2013-05-05,BEVERAGES,91697.0,95.61666666666666,0,6,5
2013-05-06,BEVERAGES,53947.0,95.8,0,0,5
2013-05-07,BEVERAGES,45921.0,95.28,0,1,5
2013-05-08,BEVERAGES,48987.0,96.24,0,2,5
2013-05-09,BEVERAGES,44287.0,96.09,0,3,5
2013-05-10,BEVERAGES,51200.0,95.81,0,4,5
2013-05-11,BEVERAGES,86983.0,95.46000000000001,0,5,5
2013-05-12,BEVERAGES,69816.0,95.11,0,6,5
2013-05-13,BEVERAGES,58821.0,94.76,0,0,5
2013-05-14,BEVERAGES,48364.0,93.96,0,1,5
2013-05-15,BEVERAGES,49711.0,93.95,0,2,5
2013-05-16,BEVERAGES,46763.0,94.85,0,3,5
2013-05-17,BEVERAGES,54176.0,95.72,0,4,5
2013-05-18,BEVERAGES,83246.0,95.91,0,5,5
2013-05-19,BEVERAGES,89043.0,96.10000000000001,0,6,5
2013-05-20,BEVERAGES,51120.0,96.29,0,0,5
2013-05-21,BEVERAGES,42483.0,95.55,0,1,5
2013-05-22,BEVERAGES,47331.0,93.98,0,2,5
2013-05-23,BEVERAGES,47751.0,94.12,0,3,5
2013-05-24,BEVERAGES,64927.0,93.84,1,4,5
2013-05-25,BEVERAGES,69931.0,94.0425,0,5,5
2013-05-26,BEVERAGES,72833.0,94.245,0,6,5
2013-05-27,BEVERAGES,50146.0,94.4475,0,0,5
2013-05-28,BEVERAGES,44066.0,94.65,0,1,5
2013-05-29,BEVERAGES,47215.0,93.13,0,2,5
2013-05-30,BEVERAGES,48103.0,93.57,0,3,5
2013-05-31,BEVERAGES,49598.0,91.93,0,4,5
2013-06-01,BEVERAGES,86125.0,92.42333333333333,0,5,6
2013-06-02,BEVERAGES,99473.0,92.91666666666667,0,6,6
2013-06-03,BEVERAGES,60558.0,93.41,0,0,6
2013-06-04,BEVERAGES,52366.0,93.36,0,1,6
2013-06-05,BEVERAGES,50992.0,93.66,0,2,6
2013-06-06,BEVERAGES,44398.0,94.71,0,3,6
2013-06-07,BEVERAGES,56405.0,96.11,0,4,6
2013-06-08,BEVERAGES,74530.0,96.01333333333334,0,5,6
2013-06-09,BEVERAGES,86963.0,95.91666666666666,0,6,6
2013-06-10,BEVERAGES,54805.0,95.82,0,0,6
2013-06-11,BEVERAGES,42173.0,95.5,0,1,6
2013-06-12,BEVERAGES,49476.0,95.98,0,2,6
2013-06-13,BEVERAGES,46522.0,96.66,0,3,6
2013-06-14,BEVERAGES,50898.0,97.83,0,4,6
2013-06-15,BEVERAGES,84062.0,97.84,0,5,6
2013-06-16,BEVERAGES,75603.0,97.85,0,6,6
2013-06-17,BEVERAGES,59394.0,97.86,0,0,6
2013-06-18,BEVERAGES,48662.0,98.46,0,1,6
2013-06-19,BEVERAGES,48518.0,98.24,0,2,6
2013-06-20,BEVERAGES,44751.0,94.89,0,3,6
2013-06-21,BEVERAGES,50770.0,93.81,0,4,6
2013-06-22,BEVERAGES,77716.0,94.23,0,5,6
2013-06-23,BEVERAGES,86616.0,94.64999999999999,0,6,6
2013-06-24,BEVERAGES,51104.0,95.07,0,0,6
2013-06-25,BEVERAGES,46937.0,95.25,0,1,6
2013-06-26,BEVERAGES,44572.0,95.47,0,2,6
2013-06-27,BEVERAGES,41123.0,97.0,0,3,6
2013-06-28,BEVERAGES,50383.0,96.36,0,4,6
2013-06-29,BEVERAGES,81171.0,96.88666666666667,0,5,6
2013-06-30,BEVERAGES,82040.0,97.41333333333333,0,6,6
2013-07-01,BEVERAGES,59242.0,97.94,0,0,7
2013-07-02,BEVERAGES,51657.0,99.65,0,1,7
2013-07-03,BEVERAGES,48573.0,101.92,0,2,7
2013-07-04,BEVERAGES,45862.0,102.505,0,3,7
2013-07-05,BEVERAGES,50122.0,103.09,0,4,7
2013-07-06,BEVERAGES,73381.0,103.07000000000001,0,5,7
2013-07-07,BEVERAGES,74622.0,103.05,0,6,7
2013-07-08,BEVERAGES,49749.0,103.03,0,0,7
2013-07-09,BEVERAGES,44552.0,103.46,0,1,7
2013-07-10,BEVERAGES,43514.0,106.41,0,2,7
2013-07-11,BEVERAGES,41232.0,104.77,0,3,7
2013-07-12,BEVERAGES,45887.0,105.85,0,4,7
2013-07-13,BEVERAGES,70748.0,105.96666666666667,0,5,7
2013-07-14,BEVERAGES,69213.0,106.08333333333333,0,6,7
2013-07-15,BEVERAGES,49598.0,106.2,0,0,7
2013-07-16,BEVERAGES,46321.0,105.88,0,1,7
2013-07-17,BEVERAGES,45976.0,106.39,0,2,7
2013-07-18,BEVERAGES,42989.0,107.94,0,3,7
2013-07-19,BEVERAGES,48246.0,108.0,0,4,7
2013-07-20,BEVERAGES,71138.0,107.53666666666666,0,5,7
2013-07-21,BEVERAGES,69215.0,107.07333333333334,0,6,7
2013-07-22,BEVERAGES,48706.0,106.61,0,0,7
2013-07-23,BEVERAGES,44403.0,107.13,0,1,7
2013-07-24,BEVERAGES,44631.0,105.41,0,2,7
2013-07-25,BEVERAGES,45525.0,105.47,0,3,7
2013-07-26,BEVERAGES,52763.0,104.76,0,4,7
2013-07-27,BEVERAGES,71689.0,104.71000000000001,0,5,7
2013-07-28,BEVERAGES,70958.0,104.66,0,6,7
2013-07-29,BEVERAGES,48547.0,104.61,0,0,7
2013-07-30,BEVERAGES,45568.0,103.14,0,1,7
2013-07-31,BEVERAGES,49838.0,105.1,0,2,7
2013-08-01,BEVERAGES,58832.0,107.93,0,3,8
2013-08-02,BEVERAGES,58105.0,106.94,0,4,8
2013-08-03,BEVERAGES,76600.0,106.83,0,5,8
2013-08-04,BEVERAGES,78674.0,106.72,0,6,8
2013-08-05,BEVERAGES,55964.0,106.61,0,0,8
2013-08-06,BEVERAGES,48861.0,105.32,0,1,8
2013-08-07,BEVERAGES,51750.0,104.41,0,2,8
2013-08-08,BEVERAGES,45223.0,103.45,0,3,8
2013-08-09,BEVERAGES,56994.0,106.04,0,4,8
2013-08-10,BEVERAGES,72429.0,106.09,1,5,8
2013-08-11,BEVERAGES,71491.0,106.14,0,6,8
2013-08-12,BEVERAGES,51037.0,106.19,0,0,8
2013-08-13,BEVERAGES,48492.0,106.78,0,1,8
2013-08-14,BEVERAGES,47806.0,106.89,0,2,8
2013-08-15,BEVERAGES,45997.0,107.43,0,3,8
2013-08-16,BEVERAGES,59161.0,107.58,0,4,8
2013-08-17,BEVERAGES,73632.0,107.43333333333334,0,5,8
2013-08-18,BEVERAGES,75026.0,107.28666666666666,0,6,8
2013-08-19,BEVERAGES,54829.0,107.14,0,0,8
2013-08-20,BEVERAGES,50801.0,104.9,0,1,8
2013-08-21,BEVERAGES,49485.0,103.93,0,2,8
2013-08-22,BEVERAGES,50756.0,104.93,0,3,8
2013-08-23,BEVERAGES,51997.0,106.48,0,4,8
2013-08-24,BEVERAGES,67660.0,106.28,0,5,8
2013-08-25,BEVERAGES,71594.0,106.08,0,6,8
2013-08-26,BEVERAGES,51180.0,105.88,0,0,8
2013-08-27,BEVERAGES,48908.0,109.11,0,1,8
2013-08-28,BEVERAGES,48631.0,110.17,0,2,8
2013-08-29,BEVERAGES,45340.0,108.51,0,3,8
2013-08-30,BEVERAGES,58691.0,107.98,0,4,8
2013-08-31,BEVERAGES,84981.0,108.1525,0,5,8
2013-09-01,BEVERAGES,103265.0,108.325,0,6,9
2013-09-02,BEVERAGES,69338.0,108.4975,0,0,9
2013-09-03,BEVERAGES,58184.0,108.67,0,1,9
2013-09-04,BEVERAGES,56818.0,107.29,0,2,9
2013-09-05,BEVERAGES,49568.0,108.5,0,3,9
2013-09-06,BEVERAGES,52021.0,110.62,0,4,9
2013-09-07,BEVERAGES,85849.0,110.28666666666668,0,5,9
2013-09-08,BEVERAGES,93549.0,109.95333333333333,0,6,9
2013-09-09,BEVERAGES,57483.0,109.62,0,0,9
2013-09-10,BEVERAGES,46900.0,107.48,0,1,9
2013-09-11,BEVERAGES,50787.0,107.65,0,2,9
2013-09-12,BEVERAGES,45213.0,108.72,0,3,9
2013-09-13,BEVERAGES,53085.0,108.31,0,4,9
2013-09-14,BEVERAGES,82022.0,107.72,0,5,9
2013-09-15,BEVERAGES,92721.0,107.13000000000001,0,6,9
2013-09-16,BEVERAGES,58940.0,106.54,0,0,9
2013-09-17,BEVERAGES,51380.0,105.36,0,1,9
2013-09-18,BEVERAGES,49395.0,108.23,0,2,9
2013-09-19,BEVERAGES,43939.0,106.26,0,3,9
2013-09-20,BEVERAGES,53457.0,104.7,0,4,9
2013-09-21,BEVERAGES,85674.0,104.34,0,5,9
2013-09-22,BEVERAGES,92535.0,103.98,0,6,9
2013-09-23,BEVERAGES,58727.0,103.62,0,0,9
2013-09-24,BEVERAGES,47315.0,103.22,0,1,9
2013-09-25,BEVERAGES,52627.0,102.68,0,2,9
2013-09-26,BEVERAGES,45533.0,103.1,0,3,9
2013-09-27,BEVERAGES,53837.0,102.86,0,4,9
2013-09-28,BEVERAGES,81683.0,102.69333333333333,0,5,9
2013-09-29,BEVERAGES,86186.0,102.52666666666667,0,6,9
2013-09-30,BEVERAGES,50122.0,102.36,0,0,9
2013-10-01,BEVERAGES,60321.0,102.09,0,1,10
2013-10-02,BEVERAGES,59689.0,104.15,0,2,10
2013-10-03,BEVERAGES,52196.0,103.29,0,3,10
2013-10-04,BEVERAGES,58243.0,103.83,0,4,10
2013-10-05,BEVERAGES,87728.0,103.57666666666667,0,5,10
2013-10-06,BEVERAGES,91453.0,103.32333333333332,0,6,10
2013-10-07,BEVERAGES,58456.0,103.07,0,0,10
2013-10-08,BEVERAGES,51219.0,103.54,0,1,10
2013-10-09,BEVERAGES,50572.0,101.63,1,2,10
2013-10-10,BEVERAGES,50737.0,103.08,0,3,10
2013-10-11,BEVERAGES,69524.0,102.17,0,4,10
2013-10-12,BEVERAGES,70580.0,102.26666666666667,0,5,10
2013-10-13,BEVERAGES,81370.0,102.36333333333333,0,6,10
2013-10-14,BEVERAGES,52081.0,102.46,0,0,10
2013-10-15,BEVERAGES,44504.0,101.15,0,1,10
2013-10-16,BEVERAGES,49900.0,102.34,0,2,10
2013-10-17,BEVERAGES,44072.0,100.72,0,3,10
2013-10-18,BEVERAGES,51057.0,100.87,0,4,10
2013-10-19,BEVERAGES,80806.0,100.34,0,5,10
2013-10-20,BEVERAGES,90794.0,99.81,0,6,10
2013-10-21,BEVERAGES,53253.0,99.28,0,0,10
2013-10-22,BEVERAGES,42987.0,97.63,0,1,10
2013-10-23,BEVERAGES,48435.0,96.9,0,2,10
2013-10-24,BEVERAGES,43362.0,96.65,0,3,10
2013-10-25,BEVERAGES,51872.0,97.4,0,4,10
2013-10-26,BEVERAGES,76303.0,97.84666666666666,0,5,10
2013-10-27,BEVERAGES,88675.0,98.29333333333334,0,6,10
2013-10-28,BEVERAGES,54626.0,98.74,0,0,10
2013-10-29,BEVERAGES,48415.0,98.29,0,1,10
2013-10-30,BEVERAGES,47144.0,96.81,0,2,10
2013-10-31,BEVERAGES,44981.0,96.29,0,3,10
2013-11-01,BEVERAGES,60038.0,94.56,0,4,11
2013-11-02,BEVERAGES,85721.0,94.56666666666666,1,5,11
2013-11-03,BEVERAGES,97066.0,94.57333333333334,1,6,11
2013-11-04,BEVERAGES,61172.0,94.58,0,0,11
2013-11-05,BEVERAGES,53889.0,93.4,0,1,11
2013-11-06,BEVERAGES,55177.0,94.74,0,2,11
2013-11-07,BEVERAGES,48297.0,94.25,0,3,11
2013-11-08,BEVERAGES,55735.0,94.56,0,4,11
2013-11-09,BEVERAGES,83121.0,94.75,0,5,11
2013-11-10,BEVERAGES,96165.0,94.94,0,6,11
2013-11-11,BEVERAGES,56988.0,95.13,0,0,11
2013-11-12,BEVERAGES,51700.0,93.12,0,1,11
2013-11-13,BEVERAGES,49737.0,93.91,0,2,11
2013-11-14,BEVERAGES,43748.0,93.76,0,3,11
2013-11-15,BEVERAGES,57886.0,93.8,0,4,11
2013-11-16,BEVERAGES,86253.0,93.54333333333334,0,5,11
2013-11-17,BEVERAGES,95914.0,93.28666666666666,0,6,11
2013-11-18,BEVERAGES,56867.0,93.03,0,0,11
2013-11-19,BEVERAGES,48933.0,93.35,0,1,11
2013-11-20,BEVERAGES,50178.0,93.34,0,2,11
2013-11-21,BEVERAGES,46136.0,95.35,0,3,11
2013-11-22,BEVERAGES,52719.0,94.53,0,4,11
2013-11-23,BEVERAGES,78307.0,94.30666666666667,0,5,11
2013-11-24,BEVERAGES,88883.0,94.08333333333333,0,6,11
2013-11-25,BEVERAGES,54032.0,93.86,0,0,11
2013-11-26,BEVERAGES,45566.0,93.41,0,1,11
2013-11-27,BEVERAGES,49371.0,92.05,0,2,11
2013-11-28,BEVERAGES,48532.0,92.3,0,3,11
2013-11-29,BEVERAGES,53854.0,92.55,0,4,11
2013-11-30,BEVERAGES,83454.0,92.90333333333334,0,5,11
2013-12-01,BEVERAGES,110068.0,93.25666666666666,0,6,12
2013-12-02,BEVERAGES,69163.0,93.61,0,0,12
2013-12-03,BEVERAGES,57259.0,95.83,0,1,12
2013-12-04,BEVERAGES,55770.0,96.97,0,2,12
2013-12-05,BEVERAGES,54490.0,97.14,0,3,12
2013-12-06,BEVERAGES,67538.0,97.48,0,4,12
2013-12-07,BEVERAGES,81986.0,97.35333333333334,0,5,12
2013-12-08,BEVERAGES,88714.0,97.22666666666666,0,6,12
2013-12-09,BEVERAGES,57522.0,97.1,0,0,12
2013-12-10,BEVERAGES,54913.0,98.32,0,1,12
2013-12-11,BEVERAGES,59185.0,97.25,0,2,12
2013-12-12,BEVERAGES,53054.0,97.21,0,3,12
2013-12-13,BEVERAGES,64038.0,96.27,0,4,12
2013-12-14,BEVERAGES,86129.0,96.57333333333334,0,5,12
2013-12-15,BEVERAGES,100122.0,96.87666666666667,0,6,12
2013-12-16,BEVERAGES,67450.0,97.18,0,0,12
2013-12-17,BEVERAGES,61175.0,96.99,0,1,12
2013-12-18,BEVERAGES,63989.0,97.59,0,2,12
2013-12-19,BEVERAGES,62692.0,98.4,0,3,12
2013-12-20,BEVERAGES,70487.0,99.11,0,4,12
2013-12-21,BEVERAGES,91862.0,98.94666666666667,0,5,12
2013-12-22,BEVERAGES,89825.0,98.78333333333333,0,6,12
2013-12-23,BEVERAGES,87598.0,98.62,0,0,12
2013-12-24,BEVERAGES,85329.0,98.87,0,1,12
2013-12-26,BEVERAGES,73168.0,99.18,0,3,12
2013-12-27,BEVERAGES,77409.0,99.94,0,4,12
2013-12-28,BEVERAGES,88614.0,99.59333333333333,0,5,12
2013-12-29,BEVERAGES,78396.0,99.24666666666667,0,6,12
2013-12-30,BEVERAGES,96102.0,98.9,0,0,12
2013-12-31,BEVERAGES,92017.0,98.17,0,1,12
2014-01-01,BEVERAGES,2175.0,96.655,1,2,1
2014-01-02,BEVERAGES,172933.0,95.14,0,3,1
2014-01-03,BEVERAGES,146684.0,93.66,0,4,1
2014-01-04,BEVERAGES,213643.0,93.48,0,5,1
2014-01-05,BEVERAGES,222012.0,93.3,0,6,1
2014-01-06,BEVERAGES,134433.0,93.12,0,0,1
2014-01-07,BEVERAGES,116379.0,93.31,0,1,1
2014-01-08,BEVERAGES,126533.0,91.9,0,2,1
2014-01-09,BEVERAGES,104418.0,91.36,0,3,1
2014-01-10,BEVERAGES,109869.0,92.39,0,4,1
2014-01-11,BEVERAGES,176562.0,92.07666666666667,0,5,1
2014-01-12,BEVERAGES,200931.0,91.76333333333334,0,6,1
2014-01-13,BEVERAGES,124033.0,91.45,0,0,1
2014-01-14,BEVERAGES,107893.0,92.15,0,1,1
2014-01-15,BEVERAGES,115098.0,93.78,0,2,1
2014-01-16,BEVERAGES,107782.0,93.54,0,3,1
2014-01-17,BEVERAGES,116932.0,93.96,0,4,1
2014-01-18,BEVERAGES,178318.0,94.0975,0,5,1
2014-01-19,BEVERAGES,205070.0,94.235,0,6,1
2014-01-20,BEVERAGES,124204.0,94.3725,0,0,1
2014-01-21,BEVERAGES,119075.0,94.51,0,1,1
2014-01-22,BEVERAGES,113548.0,96.35,0,2,1
2014-01-23,BEVERAGES,98744.0,97.23,0,3,1
2014-01-24,BEVERAGES,114525.0,96.66,0,4,1
2014-01-25,BEVERAGES,167344.0,96.38,0,5,1
2014-01-26,BEVERAGES,191848.0,96.1,0,6,1
2014-01-27,BEVERAGES,118252.0,95.82,0,0,1
2014-01-28,BEVERAGES,101178.0,97.49,0,1,1
2014-01-29,BEVERAGES,100613.0,97.34,0,2,1
2014-01-30,BEVERAGES,95195.0,98.25,0,3,1
2014-01-31,BEVERAGES,119574.0,97.55,0,4,1
2014-02-01,BEVERAGES,100164.0,97.17999999999999,0,5,2
2014-02-02,BEVERAGES,96461.0,96.81,0,6,2
2014-02-03,BEVERAGES,67515.0,96.44,0,0,2
2014-02-04,BEVERAGES,56493.0,97.24,0,1,2
2014-02-05,BEVERAGES,55108.0,97.4,0,2,2
2014-02-06,BEVERAGES,55583.0,97.84,0,3,2
2014-02-07,BEVERAGES,62398.0,99.98,0,4,2
2014-02-08,BEVERAGES,87731.0,100.02666666666667,0,5,2
2014-02-09,BEVERAGES,85094.0,100.07333333333334,0,6,2
2014-02-10,BEVERAGES,60158.0,100.12,0,0,2
2014-02-11,BEVERAGES,54697.0,99.96,0,1,2
2014-02-12,BEVERAGES,62369.0,100.38,0,2,2
2014-02-13,BEVERAGES,55169.0,100.27,0,3,2
2014-02-14,BEVERAGES,61813.0,100.31,0,4,2
2014-02-15,BEVERAGES,96266.0,100.8675,0,5,2
2014-02-16,BEVERAGES,104233.0,101.42500000000001,0,6,2
2014-02-17,BEVERAGES,67389.0,101.9825,0,0,2
2014-02-18,BEVERAGES,57416.0,102.54,0,1,2
2014-02-19,BEVERAGES,57453.0,103.46,0,2,2
2014-02-20,BEVERAGES,50574.0,103.2,0,3,2
2014-02-21,BEVERAGES,57279.0,102.53,0,4,2
2014-02-22,BEVERAGES,92987.0,102.74333333333334,0,5,2
2014-02-23,BEVERAGES,83233.0,102.95666666666666,0,6,2
2014-02-24,BEVERAGES,60921.0,103.17,0,0,2
2014-02-25,BEVERAGES,50556.0,102.2,0,1,2
2014-02-26,BEVERAGES,55459.0,102.93,0,2,2
2014-02-27,BEVERAGES,50568.0,102.68,0,3,2
2014-02-28,BEVERAGES,71666.0,102.88,0,4,2
2014-03-01,BEVERAGES,203637.0,103.7,0,5,3
2014-03-02,BEVERAGES,146383.0,104.52,0,6,3
2014-03-03,BEVERAGES,135327.0,105.34,1,0,3
2014-03-04,BEVERAGES,168606.0,103.64,1,1,3
2014-03-05,BEVERAGES,149664.0,101.75,0,2,3
2014-03-06,BEVERAGES,128954.0,101.82,0,3,3
2014-03-07,BEVERAGES,125245.0,102.82,0,4,3
2014-03-08,BEVERAGES,167501.0,102.34333333333333,0,5,3
2014-03-09,BEVERAGES,207153.0,101.86666666666666,0,6,3
2014-03-10,BEVERAGES,125074.0,101.39,0,0,3
2014-03-11,BEVERAGES,113425.0,100.29,0,1,3
2014-03-12,BEVERAGES,113369.0,98.29,0,2,3
2014-03-13,BEVERAGES,100040.0,98.57,0,3,3
2014-03-14,BEVERAGES,111076.0,99.23,0,4,3
2014-03-15,BEVERAGES,162692.0,98.96333333333334,0,5,3
2014-03-16,BEVERAGES,216993.0,98.69666666666667,0,6,3
2014-03-17,BEVERAGES,131748.0,98.43,0,0,3
2014-03-18,BEVERAGES,113236.0,100.08,0,1,3
2014-03-19,BEVERAGES,116925.0,100.71,0,2,3
2014-03-20,BEVERAGES,104708.0,99.68,0,3,3
2014-03-21,BEVERAGES,116080.0,99.97,0,4,3
2014-03-22,BEVERAGES,173506.0,99.99666666666667,0,5,3
2014-03-23,BEVERAGES,196142.0,100.02333333333333,0,6,3
2014-03-24,BEVERAGES,123713.0,100.05,0,0,3
2014-03-25,BEVERAGES,111921.0,99.66,0,1,3
2014-03-26,BEVERAGES,113414.0,100.61,0,2,3
2014-03-27,BEVERAGES,102039.0,101.25,0,3,3
2014-03-28,BEVERAGES,117243.0,101.73,0,4,3
2014-03-29,BEVERAGES,187439.0,101.67666666666666,0,5,3
